countryCode;adminCode1;cityName;lat;lng
AR;6;San Lorenzo;-28.13306;-58.76733
AR;21;San Javier;-30.57781;-59.9317
AR;1;San Isidro;-34.4721;-58.52708
AR;6;Saladas;-28.25384;-58.62591
AR;7;Retiro;-34.58333;-58.38333
AR;3;Resistencia;-27.46056;-58.98389
AR;21;Reconquista;-29.15;-59.65
AR;1;Quilmes;-34.72904;-58.26374
AR;14;Puerto Rico;-26.79598;-55.02402
AR;14;Puerto Iguazu;-25.59912;-54.57355
AR;14;Puerto Esperanza;-26.01517;-54.67306
AR;14;Puerto Eldorado;-26.40843;-54.69463
AR;14;Posadas;-27.36708;-55.89608
AR;1;Pontevedra;-34.74785;-58.70072
AR;9;Pirane;-25.73239;-59.10879
AR;1;Pilar;-34.45866;-58.9142
AR;6;Paso de los Libres;-29.71251;-57.08771
AR;14;Obera;-27.48706;-55.11994
AR;1;Necochea;-38.5545;-58.73961
AR;1;Moron;-34.6509;-58.61956
AR;6;Monte Caseros;-30.25359;-57.63626
AR;14;Montecarlo;-26.5662;-54.757
AR;1;Mercedes;-34.65145;-59.43068
AR;6;Mercedes;-29.18416;-58.07519
AR;1;Mar del Plata;-38.00228;-57.55754
AR;1;Lujan;-34.57028;-59.105
AR;1;La Plata;-34.92145;-57.95453
AR;8;La Paz;-30.74485;-59.64566
AR;14;Jardin America;-27.04346;-55.22698
AR;8;Gualeguaychu;-33.00937;-58.51722
AR;8;Gualeguay;-33.14156;-59.30966
AR;6;Goya;-29.14395;-59.2651
AR;6;Gobernador Ingeniero Valentin Virasoro;-28.05;-56.03333
AR;3;General Jose de San Martin;-26.53743;-59.34158
AR;14;Garupa;-27.48171;-55.82921
AR;9;Formosa;-26.17753;-58.17814
AR;3;Fontana;-27.41813;-59.02392
AR;8;Federal;-30.95465;-58.78326
AR;6;Esquina;-30.01444;-59.52719
AR;14;El Soberbio;-27.29847;-54.19877
AR;1;Dolores;-36.31321;-57.67918
AR;6;Curuzu Cuatia;-29.79171;-58.0546
AR;6;Corrientes;-27.4806;-58.8341
AR;8;Concordia;-31.39296;-58.02089
